"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"FLWS","1-800-Flowers.Com Inc","Domestic","$548M (Micro)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","73.83","1.15"
"TXG","10X Genomics Inc","Domestic","$4B (Small)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","--","5.54"
"CSYS","123CSS Corp","Domestic","$599 (Micro)","Information Technology","Software","Application Software","--","--"
"TURN","180 Degree Capital Corp","Domestic","$59M (Micro)","Financials","Capital Markets","Asset Management & Custody Banks","--","0.68"
"ATNF","180 Life Sciences Corp","Domestic","$19M (Micro)","Health Care","Biotechnology","Biotechnology","0.68","0.38"
"KEGS","1812 Brewing Company Inc","Domestic","$924K (Micro)","Health Care","Health Care Providers & Services","Health Care Distributors","--","--"
"BCOW","1895 Bancorp of Wisconsin Inc","Domestic","$66M (Micro)","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance","--","0.81"
"ONEM","1Life Healthcare Inc","Domestic","$3B (Small)","Health Care","Health Care Providers & Services","Health Care Services","--","2.10"
"ISOL","1mage Software Inc","Domestic","$330 (Micro)","Information Technology","Software","Application Software","--","--"
"OPMZ","1PM Industries Inc","Domestic","$26K (Micro)","Industrials","Professional Services","Research & Consulting Services","0.00","--"
"FISB","1St Capital Bancorp","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"FCOB","1st Colonial Bancorp Inc","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"FSGB","1st FSB of SC Inc","Domestic","-- ","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance","--","--"
"FNRC","1st NRG Corp","Domestic","$897K (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","--","0.00"
"SRCE","1st Source Corp","Domestic","$1B (Micro)","Financials","Banks","Regional Banks","12.15","1.71"
"DIBS","1stdibs.Com Inc","Domestic","$235M (Micro)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","--","1.56"
"ULGX","21st North Inc","Domestic","$2K (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","--"
"XXII","22nd Century Group Inc","Domestic","$280M (Micro)","Consumer Staples","Tobacco","Tobacco","--","2.31"
"ME","23andMe Holding Co.","Domestic","$1B (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","1.75"
"TSVT","2Seventy Bio Inc","Domestic","$606M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.87"
"TWOU","2U Inc","Domestic","$590M (Micro)","Consumer Discretionary","Diversified Consumer Services","Education Services","--","1.19"
"SCWO","374Water Inc","Domestic","$442M (Micro)","Industrials","Electrical Equipment","Heavy Electrical Equipment","--","45.38"
"DDD","3D Systems Corp","Domestic","$1B (Micro)","Industrials","Machinery","Industrial Machinery","--","1.78"
"DDDX","3DX Industries Inc","Domestic","$4M (Micro)","Industrials","Machinery","Industrial Machinery","--","--"
"MMM","3M Co","Domestic","$70B (Large)","Industrials","Industrial Conglomerates","Industrial Conglomerates","11.08","4.99"
"FDMT","4D Molecular Therapeutics Inc","Domestic","$726M (Micro)","Health Care","Biotechnology","Biotechnology","--","2.89"
